Department,Designation,Experience,CollegeTier,Salary
Support,Intern,11,Tier 2,916663
HR,Intern,14,Tier 1,1277994
Marketing,Senior Dev,8,Tier 2,1210915
Finance,Director,16,Tier 1,2721005
Operations,Analyst,16,Tier 3,1269353
Operations,Intern,19,Tier 2,1461675
Support,Senior Dev,6,Tier 1,1214417
HR,Senior Dev,2,Tier 2,785664
Sales,Director,4,Tier 1,1790080
Sales,Analyst,16,Tier 1,1594850
Marketing,Lead,16,Tier 3,1658673
Support,Manager,1,Tier 2,1073323
IT,Lead,4,Tier 2,1042623
IT,Director,0,Tier 1,1525680
Finance,Lead,18,Tier 2,1974717
Sales,Senior Dev,1,Tier 3,651556
Operations,Associate,11,Tier 3,1068559
IT,Intern,5,Tier 3,491919
Marketing,Lead,3,Tier 2,990662
Marketing,Associate,10,Tier 3,1014215
Support,Analyst,16,Tier 2,1381342
Support,Senior Dev,5,Tier 1,1097327
Sales,Intern,4,Tier 2,506083
Marketing,Analyst,1,Tier 1,420197
IT,Lead,10,Tier 3,1314542
Sales,Senior Dev,15,Tier 1,1867671
Operations,Intern,0,Tier 1,247848
Support,Director,5,Tier 1,1896663
Marketing,Senior Dev,2,Tier 1,919811
Operations,Senior Dev,3,Tier 3,756546
Finance,Analyst,2,Tier 3,420206
HR,Manager,18,Tier 1,2456411
Marketing,Analyst,6,Tier 1,813227
Finance,Intern,8,Tier 1,839360
IT,Associate,7,Tier 1,1000759
Finance,Intern,6,Tier 2,621153
Support,Intern,7,Tier 1,782504
Operations,Intern,10,Tier 2,858155
Finance,Director,17,Tier 3,2237254
Marketing,Lead,9,Tier 2,1364306
IT,Analyst,6,Tier 3,676843
Operations,Intern,15,Tier 3,1101065
Support,Lead,15,Tier 2,1771976
Operations,Manager,19,Tier 1,2531835
Finance,Director,16,Tier 1,2672049
Marketing,Lead,0,Tier 1,883191
Support,Manager,11,Tier 1,1940932
IT,Senior Dev,4,Tier 3,839855
IT,Intern,8,Tier 3,657400
Support,Lead,2,Tier 2,914642
HR,Manager,15,Tier 1,2271407
Sales,Manager,2,Tier 2,1096499
HR,Associate,0,Tier 2,422183
Marketing,Manager,19,Tier 3,2022874
Support,Lead,16,Tier 2,1828711
Finance,Associate,3,Tier 1,737405
Operations,Senior Dev,7,Tier 3,1047597
IT,Manager,2,Tier 3,992557
Support,Lead,2,Tier 1,997200
Operations,Director,17,Tier 2,2458975
Operations,Director,13,Tier 3,2003585
Marketing,Director,1,Tier 3,1232869
Operations,Intern,2,Tier 1,420108
Finance,Manager,8,Tier 1,1723643
Marketing,Director,0,Tier 3,1208467
Operations,Manager,0,Tier 3,923645
HR,Manager,15,Tier 1,2223987
Finance,Manager,7,Tier 2,1468214
Finance,Analyst,2,Tier 3,410880
HR,Intern,0,Tier 2,194555
Operations,Senior Dev,18,Tier 2,1863525
Marketing,Intern,13,Tier 2,1098845
Finance,Analyst,5,Tier 2,677333
HR,Associate,12,Tier 2,1210754
Finance,Lead,7,Tier 3,1109738
Marketing,Associate,1,Tier 1,593404
IT,Analyst,0,Tier 2,339790
IT,Manager,0,Tier 2,989124
Operations,Senior Dev,15,Tier 3,1515714
Operations,Senior Dev,3,Tier 2,865410
Support,Manager,16,Tier 1,2335447
IT,Intern,16,Tier 1,1476491
Support,Associate,13,Tier 2,1304212
IT,Lead,5,Tier 2,1117202
IT,Associate,8,Tier 3,883828
Sales,Lead,16,Tier 3,1630301
Sales,Analyst,2,Tier 3,390699
Operations,Senior Dev,0,Tier 2,688483
Sales,Analyst,0,Tier 2,352479
Finance,Director,2,Tier 1,1677471
HR,Analyst,17,Tier 2,1456584
Operations,Intern,9,Tier 3,765006
HR,Intern,2,Tier 2,356663
Support,Senior Dev,13,Tier 2,1524631
HR,Intern,17,Tier 3,1197455
Finance,Analyst,14,Tier 1,1406093
IT,Manager,1,Tier 2,1082958
IT,Associate,9,Tier 1,1179177
Sales,Director,16,Tier 3,2157751
Support,Intern,0,Tier 1,260328
Sales,Manager,10,Tier 1,1857533
Finance,Director,15,Tier 1,2634974
Operations,Analyst,9,Tier 2,913190
Support,Intern,2,Tier 3,340993
Operations,Analyst,12,Tier 3,1013355
IT,Lead,6,Tier 3,1054376
Sales,Associate,3,Tier 3,554780
Marketing,Manager,19,Tier 1,2522368
HR,Manager,7,Tier 1,1626655
Operations,Associate,13,Tier 2,1272495
HR,Senior Dev,13,Tier 2,1513547
Support,Manager,18,Tier 3,2005766
Sales,Senior Dev,14,Tier 1,1783403
Marketing,Senior Dev,1,Tier 1,808121
Support,Associate,18,Tier 3,1478312
Operations,Intern,16,Tier 2,1288675
IT,Director,9,Tier 2,1937006
Finance,Associate,10,Tier 1,1222491
Support,Lead,4,Tier 3,958096
Finance,Manager,7,Tier 1,1639508
IT,Director,11,Tier 1,2343747
HR,Analyst,4,Tier 1,666606
Sales,Director,3,Tier 1,1749021
Sales,Lead,12,Tier 3,1448335
Operations,Intern,19,Tier 1,1677093
Operations,Lead,14,Tier 1,1910202
Finance,Intern,7,Tier 2,659987
IT,Associate,15,Tier 3,1298940
Support,Analyst,17,Tier 1,1637019
Support,Manager,9,Tier 1,1788077
Sales,Lead,18,Tier 2,1949136
Operations,Associate,18,Tier 2,1626251
Finance,Associate,4,Tier 3,642217
Operations,Lead,8,Tier 1,1479699
Finance,Senior Dev,0,Tier 3,571081
Marketing,Senior Dev,0,Tier 2,676175
Support,Manager,15,Tier 1,2240056
Sales,Director,7,Tier 3,1646556
Sales,Analyst,0,Tier 2,303343
Sales,Director,6,Tier 3,1559375
Support,Analyst,4,Tier 1,692893
Marketing,Manager,2,Tier 3,1009531
Marketing,Director,15,Tier 2,2283506
Sales,Lead,4,Tier 1,1152253
Support,Associate,13,Tier 3,1159435
Operations,Associate,4,Tier 2,718078
Operations,Analyst,16,Tier 2,1407293
Marketing,Analyst,13,Tier 2,1171245
Operations,Manager,19,Tier 3,2039124
Marketing,Intern,11,Tier 2,959919
Finance,Manager,15,Tier 3,1825636
Marketing,Senior Dev,6,Tier 3,956211
Operations,Manager,0,Tier 3,926573
IT,Manager,4,Tier 2,1250646
Marketing,Manager,9,Tier 2,1568069
Finance,Associate,4,Tier 1,801843
Marketing,Senior Dev,1,Tier 1,835158
Finance,Intern,9,Tier 2,807289
Marketing,Associate,18,Tier 1,1855257
IT,Associate,0,Tier 3,411975
Operations,Intern,4,Tier 3,426364
HR,Intern,3,Tier 2,415663
Operations,Intern,15,Tier 3,1108646
IT,Associate,1,Tier 3,459168
Finance,Lead,19,Tier 2,2012071
HR,Analyst,11,Tier 3,936833
Marketing,Senior Dev,2,Tier 1,905195
IT,Analyst,0,Tier 3,274000
HR,Director,18,Tier 2,2506074
Support,Associate,4,Tier 3,648155
Support,Director,2,Tier 3,1322320
Support,Analyst,0,Tier 2,346247
Support,Analyst,9,Tier 3,827450
Support,Manager,11,Tier 1,1940764
Sales,Intern,12,Tier 2,1002491
Operations,Manager,13,Tier 1,2082161
Sales,Lead,18,Tier 1,2253097
Sales,Associate,2,Tier 1,647350
Sales,Associate,16,Tier 1,1698761
Support,Director,7,Tier 1,2018132
HR,Manager,9,Tier 3,1419817
Finance,Lead,1,Tier 3,787458
Operations,Associate,8,Tier 2,958358
Marketing,Analyst,3,Tier 1,587209
Marketing,Senior Dev,17,Tier 1,2021092
HR,Analyst,10,Tier 2,960412
Marketing,Intern,3,Tier 2,421496
Marketing,Director,3,Tier 2,1532425
Finance,Associate,4,Tier 2,692888
Finance,Intern,2,Tier 1,418816
Operations,Associate,2,Tier 1,640463
Support,Intern,3,Tier 3,387841
HR,Director,16,Tier 2,2380911
IT,Intern,4,Tier 2,498811
Sales,Lead,16,Tier 3,1650150
IT,Senior Dev,12,Tier 1,1663286
Operations,Manager,2,Tier 3,1011352
Marketing,Senior Dev,16,Tier 3,1574912
HR,Manager,19,Tier 2,2260959
Finance,Lead,12,Tier 2,1532698
Finance,Associate,18,Tier 2,1645280
IT,Intern,3,Tier 3,366779
Marketing,Manager,8,Tier 2,1512466
IT,Director,11,Tier 2,2020360
Support,Director,6,Tier 2,1745163
IT,Senior Dev,13,Tier 1,1746934
Finance,Director,19,Tier 1,2949098
Finance,Analyst,14,Tier 2,1232335
Operations,Senior Dev,4,Tier 2,950418
Marketing,Associate,11,Tier 1,1318576
Sales,Senior Dev,19,Tier 3,1721130
HR,Lead,3,Tier 1,1122788
Support,Associate,15,Tier 2,1427192
Marketing,Associate,6,Tier 2,824540
IT,Analyst,9,Tier 2,915689
Operations,Lead,6,Tier 3,1052925
IT,Senior Dev,4,Tier 3,833714
Support,Senior Dev,10,Tier 3,1194394
Finance,Manager,17,Tier 1,2407614
Finance,Intern,11,Tier 2,964136
Marketing,Manager,9,Tier 1,1787337
Marketing,Director,11,Tier 3,1837056
Sales,Associate,5,Tier 2,741542
Finance,Manager,13,Tier 2,1864732
Marketing,Manager,7,Tier 1,1659081
Marketing,Lead,8,Tier 2,1295569
Support,Manager,1,Tier 1,1187924
Sales,Manager,4,Tier 3,1164693
Marketing,Senior Dev,18,Tier 1,2098295
Operations,Senior Dev,15,Tier 2,1662348
Finance,Director,0,Tier 1,1487749
HR,Senior Dev,19,Tier 3,1736256
Operations,Associate,6,Tier 1,957080
Finance,Analyst,12,Tier 2,1117731
Sales,Associate,3,Tier 1,730909
Finance,Intern,18,Tier 1,1576588
Marketing,Manager,11,Tier 1,1958069
IT,Manager,6,Tier 1,1598338
Sales,Intern,9,Tier 3,765129
Sales,Intern,18,Tier 2,1406710
Finance,Manager,2,Tier 3,1010652
Marketing,Senior Dev,12,Tier 3,1311233
Finance,Analyst,19,Tier 1,1825771
Finance,Manager,7,Tier 2,1435116
IT,Manager,8,Tier 2,1530918
HR,Intern,0,Tier 1,259298
IT,Intern,12,Tier 1,1134683
IT,Lead,16,Tier 1,2068960
Support,Lead,0,Tier 2,777797
Marketing,Lead,5,Tier 1,1222105
Finance,Manager,11,Tier 1,1965740
Operations,Senior Dev,12,Tier 3,1324620
Finance,Director,14,Tier 3,2030559
HR,Manager,10,Tier 3,1481003
IT,Associate,4,Tier 1,795826
IT,Manager,18,Tier 2,2161843
Sales,Senior Dev,17,Tier 2,1758190
Finance,Senior Dev,8,Tier 3,1102528
Finance,Senior Dev,13,Tier 3,1402638
Marketing,Associate,0,Tier 1,512356
Marketing,Director,2,Tier 2,1441087
Sales,Associate,10,Tier 2,1083323
Marketing,Intern,9,Tier 2,794975
HR,Associate,15,Tier 3,1291447
Operations,Intern,5,Tier 1,618959
IT,Senior Dev,7,Tier 3,999337
IT,Director,3,Tier 3,1386487
Finance,Lead,17,Tier 1,2153307
HR,Director,4,Tier 1,1774835
Support,Lead,16,Tier 2,1834088
Sales,Director,0,Tier 3,1225284
Support,Senior Dev,19,Tier 2,1943852
Marketing,Intern,15,Tier 2,1197308
HR,Director,12,Tier 3,1924349
Support,Intern,2,Tier 3,342476
Sales,Manager,5,Tier 2,1295713
IT,Associate,18,Tier 1,1869407
IT,Director,4,Tier 2,1604990
IT,Associate,1,Tier 1,545009
HR,Lead,17,Tier 2,1918570
IT,Associate,12,Tier 1,1407892
Marketing,Senior Dev,0,Tier 1,747712
Support,Associate,17,Tier 3,1398415
IT,Analyst,14,Tier 2,1271280
Support,Lead,10,Tier 2,1423833
Support,Intern,16,Tier 3,1176540
HR,Intern,0,Tier 3,188017
Sales,Intern,8,Tier 2,758034
HR,Manager,0,Tier 1,1095404
Operations,Senior Dev,15,Tier 1,1892926
Finance,Senior Dev,5,Tier 1,1107763
HR,Manager,16,Tier 1,2327606
Sales,Senior Dev,4,Tier 3,848757
Support,Senior Dev,2,Tier 2,812612
Marketing,Senior Dev,4,Tier 1,1023636
HR,Analyst,4,Tier 1,649809
Finance,Manager,9,Tier 1,1823330
Finance,Analyst,16,Tier 2,1404212
Finance,Analyst,13,Tier 3,1105752
HR,Lead,13,Tier 2,1632816
Support,Lead,18,Tier 2,1981932
Marketing,Associate,12,Tier 3,1147091
Operations,Lead,0,Tier 2,777744
Finance,Director,7,Tier 3,1632783
HR,Analyst,1,Tier 1,456187
Sales,Analyst,7,Tier 2,820918
HR,Lead,1,Tier 1,963125
Operations,Intern,2,Tier 2,350538
Marketing,Associate,17,Tier 3,1427131
Operations,Lead,0,Tier 1,895229
Operations,Analyst,11,Tier 3,971348
HR,Senior Dev,16,Tier 1,1973871
Sales,Associate,14,Tier 2,1349254
IT,Lead,14,Tier 3,1511252
Support,Manager,13,Tier 3,1687441
IT,Associate,10,Tier 1,1273682
Marketing,Director,6,Tier 2,1701781
IT,Senior Dev,1,Tier 3,636949
Finance,Senior Dev,17,Tier 2,1807393
Support,Associate,17,Tier 1,1751941
IT,Analyst,14,Tier 3,1133386
Marketing,Senior Dev,18,Tier 2,1828209
HR,Lead,19,Tier 1,2298920
Marketing,Associate,5,Tier 3,726800
Marketing,Director,14,Tier 1,2574267
Marketing,Manager,9,Tier 3,1466882
Marketing,Senior Dev,16,Tier 3,1581332
HR,Intern,3,Tier 3,399289
Support,Senior Dev,16,Tier 3,1551833
HR,Manager,16,Tier 2,2035963
Support,Analyst,19,Tier 2,1590932
Sales,Associate,1,Tier 2,483941
Sales,Lead,1,Tier 1,924300
IT,Intern,10,Tier 2,862015
IT,Associate,10,Tier 2,1121058
Finance,Lead,14,Tier 2,1681144
IT,Intern,15,Tier 1,1351238
Sales,Manager,10,Tier 2,1631637
IT,Lead,15,Tier 1,1994071
HR,Intern,3,Tier 3,395415
Operations,Director,3,Tier 2,1530679
Finance,Intern,2,Tier 3,308271
Marketing,Associate,2,Tier 1,653434
Finance,Manager,17,Tier 1,2398732
Finance,Analyst,18,Tier 1,1718954
Sales,Senior Dev,4,Tier 1,1041969
Operations,Senior Dev,9,Tier 2,1260668
Sales,Director,5,Tier 3,1509144
Finance,Senior Dev,11,Tier 1,1563777
Support,Director,13,Tier 3,2001745
IT,Analyst,16,Tier 1,1571329
Operations,Associate,12,Tier 2,1218282
Finance,Senior Dev,8,Tier 1,1343321
Support,Analyst,14,Tier 1,1400240
Operations,Analyst,14,Tier 2,1279645
Support,Associate,10,Tier 1,1239262
Finance,Intern,15,Tier 2,1232796
HR,Lead,16,Tier 2,1825721
Operations,Associate,3,Tier 3,563568
Marketing,Director,7,Tier 1,2009178
IT,Lead,19,Tier 2,1994302
IT,Lead,13,Tier 1,1848699
Finance,Senior Dev,13,Tier 1,1739247
HR,Director,1,Tier 2,1372748
Sales,Associate,13,Tier 3,1165034
Support,Analyst,18,Tier 3,1355126
Marketing,Senior Dev,2,Tier 2,780030
Marketing,Intern,13,Tier 3,1005658
Finance,Associate,14,Tier 1,1521531
HR,Director,12,Tier 2,2134497
Support,Lead,5,Tier 1,1259650
Marketing,Director,18,Tier 3,2285854
Operations,Intern,4,Tier 2,464267
Marketing,Analyst,9,Tier 2,895062
HR,Associate,16,Tier 3,1359926
Finance,Director,11,Tier 1,2299632
Marketing,Director,16,Tier 1,2673596
Sales,Analyst,19,Tier 1,1776168
Finance,Intern,3,Tier 2,395561
Finance,Lead,2,Tier 3,806616
Support,Intern,12,Tier 3,948513
Support,Intern,14,Tier 2,1120371
IT,Analyst,14,Tier 1,1421069
Marketing,Manager,1,Tier 2,1038910
IT,Analyst,7,Tier 2,774199
IT,Associate,16,Tier 1,1693275
IT,Analyst,18,Tier 1,1710913
IT,Senior Dev,8,Tier 1,1339123
Marketing,Senior Dev,1,Tier 3,640167
HR,Director,12,Tier 3,1937045
Support,Lead,4,Tier 1,1173024
HR,Lead,0,Tier 1,895612
HR,Lead,5,Tier 2,1071605
Finance,Director,15,Tier 1,2622139
Operations,Lead,10,Tier 3,1322669
Sales,Senior Dev,8,Tier 1,1333046
Marketing,Lead,2,Tier 2,896818
Support,Associate,7,Tier 2,876324
IT,Associate,3,Tier 2,617111
IT,Analyst,5,Tier 3,626641
Finance,Senior Dev,19,Tier 1,2159043
IT,Senior Dev,10,Tier 3,1227347
HR,Lead,14,Tier 2,1705605
IT,Intern,16,Tier 2,1292685
Support,Lead,5,Tier 3,983234
Sales,Manager,1,Tier 3,930846
HR,Senior Dev,10,Tier 2,1303703
HR,Analyst,18,Tier 1,1717700
Marketing,Intern,11,Tier 1,1051469
Operations,Manager,3,Tier 2,1184386
IT,Analyst,19,Tier 1,1819376
Support,Senior Dev,19,Tier 3,1746976
IT,Intern,11,Tier 3,832048
Operations,Lead,13,Tier 3,1495375
HR,Manager,5,Tier 1,1471828
Finance,Associate,10,Tier 2,1102254
IT,Analyst,3,Tier 3,489756
Finance,Director,10,Tier 3,1817362
Support,Associate,0,Tier 2,468245
HR,Director,17,Tier 3,2249383
Operations,Associate,9,Tier 1,1161644
IT,Senior Dev,9,Tier 1,1397219
Operations,Director,1,Tier 3,1281212
Operations,Director,7,Tier 3,1624387
Finance,Associate,0,Tier 2,411342
HR,Associate,4,Tier 3,653336
Finance,Lead,16,Tier 3,1681976
IT,Manager,10,Tier 3,1497534
IT,Lead,5,Tier 3,996614
Finance,Senior Dev,2,Tier 2,790253
Support,Analyst,16,Tier 3,1247988
HR,Analyst,11,Tier 1,1212929
IT,Director,13,Tier 1,2446908
Finance,Intern,10,Tier 1,975256
IT,Analyst,1,Tier 1,439019
Finance,Senior Dev,2,Tier 1,928914
Marketing,Analyst,0,Tier 1,350415
Support,Intern,7,Tier 1,786832
IT,Director,4,Tier 1,1825565
Marketing,Manager,2,Tier 1,1266204
HR,Senior Dev,4,Tier 1,1039282
Support,Manager,13,Tier 2,1858345
HR,Associate,3,Tier 2,624984
HR,Lead,12,Tier 2,1549449
Sales,Associate,17,Tier 2,1575303
Sales,Analyst,7,Tier 1,879510
Finance,Associate,7,Tier 3,818173
Sales,Senior Dev,18,Tier 3,1657804
Marketing,Lead,5,Tier 3,975984
Finance,Director,14,Tier 2,2223184
IT,Associate,16,Tier 2,1500016
Operations,Lead,14,Tier 1,1940558
Operations,Intern,1,Tier 1,313381
Support,Manager,7,Tier 1,1646727
Operations,Senior Dev,18,Tier 3,1661302
Support,Director,18,Tier 2,2519157
Support,Manager,5,Tier 3,1197202
Operations,Director,6,Tier 3,1547586
Finance,Senior Dev,7,Tier 1,1276273
Finance,Associate,19,Tier 1,1910374
Marketing,Manager,14,Tier 1,2150788
Support,Manager,0,Tier 3,929379
Marketing,Analyst,6,Tier 1,795922
Finance,Analyst,3,Tier 3,501356
IT,Lead,5,Tier 3,1002184
HR,Associate,0,Tier 3,414028
Support,Director,4,Tier 1,1802154
Operations,Manager,0,Tier 3,908141
Finance,Analyst,3,Tier 2,517029
Marketing,Lead,1,Tier 1,952265
Finance,Lead,4,Tier 2,1050714
Marketing,Analyst,9,Tier 1,1063872
IT,Director,5,Tier 2,1675180
Marketing,Manager,14,Tier 3,1716371
Support,Associate,12,Tier 1,1376359
Marketing,Lead,19,Tier 1,2310631
HR,Manager,14,Tier 1,2180996
Operations,Director,7,Tier 1,2009382
IT,Director,3,Tier 3,1385659
Operations,Lead,12,Tier 3,1410609
Marketing,Lead,18,Tier 2,1967666
Marketing,Lead,3,Tier 2,971561
Finance,Director,10,Tier 3,1804884
Finance,Associate,19,Tier 1,1907298
Marketing,Manager,9,Tier 2,1597879
Sales,Associate,5,Tier 1,889165
Marketing,Director,7,Tier 1,2050318
Finance,Associate,14,Tier 2,1383497
IT,Senior Dev,13,Tier 1,1719938
Sales,Associate,11,Tier 1,1305457
Finance,Lead,12,Tier 3,1397783
HR,Analyst,17,Tier 2,1439368
Operations,Director,0,Tier 2,1346942
HR,Lead,7,Tier 2,1235595
Support,Director,10,Tier 1,2239915
HR,Senior Dev,11,Tier 1,1582219
Support,Senior Dev,15,Tier 3,1516403
IT,Lead,4,Tier 1,1198028
IT,Intern,7,Tier 3,590126
HR,Analyst,9,Tier 1,1047632
Marketing,Manager,8,Tier 2,1542261
Sales,Analyst,18,Tier 2,1527964
Operations,Manager,13,Tier 1,2114327
HR,Director,8,Tier 1,2073797
Support,Manager,10,Tier 2,1633718
Operations,Manager,0,Tier 3,881053
Marketing,Senior Dev,4,Tier 2,930244
HR,Senior Dev,13,Tier 1,1742523
Marketing,Senior Dev,0,Tier 3,604622
IT,Analyst,18,Tier 2,1542183
HR,Associate,14,Tier 3,1212708
Sales,Analyst,14,Tier 3,1166264
Marketing,Director,8,Tier 2,1875545
Support,Analyst,19,Tier 3,1449224
Sales,Associate,8,Tier 1,1110738
Finance,Senior Dev,19,Tier 1,2194688
Support,Lead,10,Tier 2,1407973
IT,Manager,1,Tier 2,1034070
Sales,Manager,17,Tier 2,2090666
Support,Intern,1,Tier 3,285642
Finance,Associate,16,Tier 2,1472783
IT,Director,10,Tier 1,2261914
Support,Director,11,Tier 2,2029490
IT,Senior Dev,6,Tier 1,1175299
IT,Manager,5,Tier 1,1489956
Support,Senior Dev,0,Tier 1,775472
Support,Associate,10,Tier 2,1074757
Marketing,Intern,17,Tier 1,1533356
IT,Director,16,Tier 3,2180118
Marketing,Senior Dev,16,Tier 2,1732163
Sales,Associate,8,Tier 2,987840
HR,Senior Dev,19,Tier 1,2197853
Marketing,Director,7,Tier 1,2050856
IT,Associate,6,Tier 1,929984
IT,Analyst,12,Tier 1,1286949
Operations,Intern,18,Tier 1,1594442
Sales,Director,18,Tier 2,2505965
Operations,Senior Dev,16,Tier 1,1940908
Operations,Intern,15,Tier 1,1373071
Marketing,Senior Dev,18,Tier 3,1668449
Marketing,Lead,0,Tier 1,883258
Support,Lead,14,Tier 3,1538865
Sales,Lead,16,Tier 1,2071737
Marketing,Analyst,5,Tier 1,745522
IT,Lead,3,Tier 3,905168
Support,Senior Dev,7,Tier 3,1002342
IT,Senior Dev,6,Tier 2,1074770
Operations,Manager,9,Tier 2,1588249
Marketing,Lead,18,Tier 1,2205093
HR,Senior Dev,1,Tier 1,847603
Finance,Analyst,0,Tier 2,347190
Support,Lead,17,Tier 2,1881846
Marketing,Intern,7,Tier 3,639984
Support,Analyst,2,Tier 3,437063
Sales,Senior Dev,7,Tier 1,1301373
Sales,Manager,14,Tier 2,1887300
HR,Intern,2,Tier 2,361986
Sales,Director,0,Tier 1,1490059
Support,Associate,14,Tier 2,1347575
Support,Manager,1,Tier 2,1033970
Support,Senior Dev,13,Tier 3,1359503
Support,Manager,13,Tier 3,1668922
HR,Manager,15,Tier 2,2003699
Support,Director,19,Tier 3,2351124
Marketing,Analyst,13,Tier 1,1367838
HR,Associate,15,Tier 2,1447057
Operations,Intern,6,Tier 1,674425
Finance,Analyst,6,Tier 3,646032
Operations,Lead,18,Tier 1,2215079
Sales,Lead,18,Tier 1,2208859
IT,Manager,17,Tier 3,1898705
Finance,Intern,0,Tier 2,213236
IT,Associate,19,Tier 3,1529978
Operations,Intern,9,Tier 1,910358
Sales,Manager,1,Tier 3,959378
Operations,Lead,11,Tier 1,1720707
Sales,Director,4,Tier 2,1587572
HR,Senior Dev,5,Tier 1,1096279
Support,Manager,8,Tier 2,1495083
HR,Intern,2,Tier 2,376771
HR,Lead,11,Tier 3,1359975
HR,Intern,16,Tier 3,1178285
Support,Analyst,13,Tier 1,1368854
IT,Analyst,16,Tier 1,1573529
Finance,Director,18,Tier 3,2277856
Support,Analyst,13,Tier 1,1332808
Sales,Manager,7,Tier 1,1656801
Finance,Director,12,Tier 3,1924072
IT,Associate,6,Tier 1,943752
Finance,Associate,10,Tier 2,1121693
Operations,Intern,3,Tier 1,500961
IT,Intern,12,Tier 2,990996
Marketing,Director,10,Tier 3,1826133
Sales,Lead,17,Tier 3,1749519
Marketing,Manager,9,Tier 2,1592243
HR,Intern,8,Tier 2,749653
HR,Analyst,1,Tier 3,369952
Support,Intern,4,Tier 3,441896
HR,Intern,5,Tier 2,532875
Sales,Senior Dev,9,Tier 2,1240725
IT,Associate,5,Tier 3,699402
Marketing,Manager,7,Tier 2,1479953
Sales,Analyst,11,Tier 2,1072828
Finance,Lead,6,Tier 3,1057529
Operations,Manager,12,Tier 1,2006664
Operations,Lead,13,Tier 2,1618609
Finance,Lead,10,Tier 1,1614250
Marketing,Associate,3,Tier 2,629874
Operations,Analyst,10,Tier 3,924567
HR,Analyst,10,Tier 2,984063
