EmployeeID,Department,Designation,Experience,CollegeTier,Salary
94,HR,Intern,14,Tier 1,1277994
95,Marketing,Senior Dev,8,Tier 2,1210915
96,Finance,Director,16,Tier 1,2721005
97,Operations,Analyst,16,Tier 3,1269353
98,Operations,Intern,19,Tier 2,1461675
99,Support,Senior Dev,6,Tier 1,1214417
100,HR,Senior Dev,2,Tier 2,785664
101,Sales,Director,4,Tier 1,1790080
102,Sales,Analyst,16,Tier 1,1594850
103,Marketing,Lead,16,Tier 3,1658673
104,Support,Manager,1,Tier 2,1073323
105,IT,Lead,4,Tier 2,1042623
106,IT,Director,0,Tier 1,1525680
107,Finance,Lead,18,Tier 2,1974717
108,Sales,Senior Dev,1,Tier 3,651556
109,Operations,Associate,11,Tier 3,1068559
110,IT,Intern,5,Tier 3,491919
111,Marketing,Lead,3,Tier 2,990662
112,Marketing,Associate,10,Tier 3,1014215
113,Support,Analyst,16,Tier 2,1381342
114,Support,Senior Dev,5,Tier 1,1097327
115,Sales,Intern,4,Tier 2,506083
116,Marketing,Analyst,1,Tier 1,420197
117,IT,Lead,10,Tier 3,1314542
118,Sales,Senior Dev,15,Tier 1,1867671
119,Operations,Intern,0,Tier 1,247848
120,Support,Director,5,Tier 1,1896663
121,Marketing,Senior Dev,2,Tier 1,919811
122,Operations,Senior Dev,3,Tier 3,756546
123,Finance,Analyst,2,Tier 3,420206
124,HR,Manager,18,Tier 1,2456411
125,Marketing,Analyst,6,Tier 1,813227
126,Finance,Intern,8,Tier 1,839360
127,IT,Associate,7,Tier 1,1000759
128,Finance,Intern,6,Tier 2,621153
129,Support,Intern,7,Tier 1,782504
130,Operations,Intern,10,Tier 2,858155
131,Finance,Director,17,Tier 3,2237254
132,Marketing,Lead,9,Tier 2,1364306
133,IT,Analyst,6,Tier 3,676843
134,Operations,Intern,15,Tier 3,1101065
135,Support,Lead,15,Tier 2,1771976
136,Operations,Manager,19,Tier 1,2531835
137,Finance,Director,16,Tier 1,2672049
138,Marketing,Lead,0,Tier 1,883191
139,Support,Manager,11,Tier 1,1940932
140,IT,Senior Dev,4,Tier 3,839855
141,IT,Intern,8,Tier 3,657400
142,Support,Lead,2,Tier 2,914642
143,HR,Manager,15,Tier 1,2271407
144,Sales,Manager,2,Tier 2,1096499
145,HR,Associate,0,Tier 2,422183
146,Marketing,Manager,19,Tier 3,2022874
147,Support,Lead,16,Tier 2,1828711
148,Finance,Associate,3,Tier 1,737405
149,Operations,Senior Dev,7,Tier 3,1047597
150,IT,Manager,2,Tier 3,992557
151,Support,Lead,2,Tier 1,997200
152,Operations,Director,17,Tier 2,2458975
153,Operations,Director,13,Tier 3,2003585
154,Marketing,Director,1,Tier 3,1232869
155,Operations,Intern,2,Tier 1,420108
156,Finance,Manager,8,Tier 1,1723643
157,Marketing,Director,0,Tier 3,1208467
158,Operations,Manager,0,Tier 3,923645
159,HR,Manager,15,Tier 1,2223987
160,Finance,Manager,7,Tier 2,1468214
161,Finance,Analyst,2,Tier 3,410880
162,HR,Intern,0,Tier 2,194555
163,Operations,Senior Dev,18,Tier 2,1863525
164,Marketing,Intern,13,Tier 2,1098845
165,Finance,Analyst,5,Tier 2,677333
166,HR,Associate,12,Tier 2,1210754
167,Finance,Lead,7,Tier 3,1109738
168,Marketing,Associate,1,Tier 1,593404
169,IT,Analyst,0,Tier 2,339790
170,IT,Manager,0,Tier 2,989124
171,Operations,Senior Dev,15,Tier 3,1515714
172,Operations,Senior Dev,3,Tier 2,865410
173,Support,Manager,16,Tier 1,2335447
174,IT,Intern,16,Tier 1,1476491
175,Support,Associate,13,Tier 2,1304212
176,IT,Lead,5,Tier 2,1117202
177,IT,Associate,8,Tier 3,883828
178,Sales,Lead,16,Tier 3,1630301
179,Sales,Analyst,2,Tier 3,390699
180,Operations,Senior Dev,0,Tier 2,688483
181,Sales,Analyst,0,Tier 2,352479
182,Finance,Director,2,Tier 1,1677471
183,HR,Analyst,17,Tier 2,1456584
184,Operations,Intern,9,Tier 3,765006
185,HR,Intern,2,Tier 2,356663
186,Support,Senior Dev,13,Tier 2,1524631
187,HR,Intern,17,Tier 3,1197455
188,Finance,Analyst,14,Tier 1,1406093
189,IT,Manager,1,Tier 2,1082958
190,IT,Associate,9,Tier 1,1179177
191,Sales,Director,16,Tier 3,2157751
192,Support,Intern,0,Tier 1,260328
193,Sales,Manager,10,Tier 1,1857533
194,Finance,Director,15,Tier 1,2634974
195,Operations,Analyst,9,Tier 2,913190
196,Support,Intern,2,Tier 3,340993
197,Operations,Analyst,12,Tier 3,1013355
198,IT,Lead,6,Tier 3,1054376
199,Sales,Associate,3,Tier 3,554780
200,Marketing,Manager,19,Tier 1,2522368
201,HR,Manager,7,Tier 1,1626655
202,Operations,Associate,13,Tier 2,1272495
203,HR,Senior Dev,13,Tier 2,1513547
204,Support,Manager,18,Tier 3,2005766
205,Sales,Senior Dev,14,Tier 1,1783403
206,Marketing,Senior Dev,1,Tier 1,808121
207,Support,Associate,18,Tier 3,1478312
208,Operations,Intern,16,Tier 2,1288675
209,IT,Director,9,Tier 2,1937006
210,Finance,Associate,10,Tier 1,1222491
211,Support,Lead,4,Tier 3,958096
212,Finance,Manager,7,Tier 1,1639508
213,IT,Director,11,Tier 1,2343747
214,HR,Analyst,4,Tier 1,666606
215,Sales,Director,3,Tier 1,1749021
216,Sales,Lead,12,Tier 3,1448335
217,Operations,Intern,19,Tier 1,1677093
218,Operations,Lead,14,Tier 1,1910202
219,Finance,Intern,7,Tier 2,659987
220,IT,Associate,15,Tier 3,1298940
221,Support,Analyst,17,Tier 1,1637019
222,Support,Manager,9,Tier 1,1788077
223,Sales,Lead,18,Tier 2,1949136
224,Operations,Associate,18,Tier 2,1626251
225,Finance,Associate,4,Tier 3,642217
226,Operations,Lead,8,Tier 1,1479699
227,Finance,Senior Dev,0,Tier 3,571081
228,Marketing,Senior Dev,0,Tier 2,676175
229,Support,Manager,15,Tier 1,2240056
230,Sales,Director,7,Tier 3,1646556
231,Sales,Analyst,0,Tier 2,303343
232,Sales,Director,6,Tier 3,1559375
233,Support,Analyst,4,Tier 1,692893
234,Marketing,Manager,2,Tier 3,1009531
235,Marketing,Director,15,Tier 2,2283506
236,Sales,Lead,4,Tier 1,1152253
237,Support,Associate,13,Tier 3,1159435
238,Operations,Associate,4,Tier 2,718078
239,Operations,Analyst,16,Tier 2,1407293
240,Marketing,Analyst,13,Tier 2,1171245
241,Operations,Manager,19,Tier 3,2039124
242,Marketing,Intern,11,Tier 2,959919
243,Finance,Manager,15,Tier 3,1825636
244,Marketing,Senior Dev,6,Tier 3,956211
245,Operations,Manager,0,Tier 3,926573
246,IT,Manager,4,Tier 2,1250646
247,Marketing,Manager,9,Tier 2,1568069
248,Finance,Associate,4,Tier 1,801843
249,Marketing,Senior Dev,1,Tier 1,835158
250,Finance,Intern,9,Tier 2,807289
251,Marketing,Associate,18,Tier 1,1855257
252,IT,Associate,0,Tier 3,411975
253,Operations,Intern,4,Tier 3,426364
254,HR,Intern,3,Tier 2,415663
255,Operations,Intern,15,Tier 3,1108646
256,IT,Associate,1,Tier 3,459168
257,Finance,Lead,19,Tier 2,2012071
258,HR,Analyst,11,Tier 3,936833
259,Marketing,Senior Dev,2,Tier 1,905195
260,IT,Analyst,0,Tier 3,274000
261,HR,Director,18,Tier 2,2506074
262,Support,Associate,4,Tier 3,648155
263,Support,Director,2,Tier 3,1322320
264,Support,Analyst,0,Tier 2,346247
265,Support,Analyst,9,Tier 3,827450
266,Support,Manager,11,Tier 1,1940764
267,Sales,Intern,12,Tier 2,1002491
268,Operations,Manager,13,Tier 1,2082161
269,Sales,Lead,18,Tier 1,2253097
270,Sales,Associate,2,Tier 1,647350
271,Sales,Associate,16,Tier 1,1698761
272,Support,Director,7,Tier 1,2018132
273,HR,Manager,9,Tier 3,1419817
274,Finance,Lead,1,Tier 3,787458
275,Operations,Associate,8,Tier 2,958358
276,Marketing,Analyst,3,Tier 1,587209
277,Marketing,Senior Dev,17,Tier 1,2021092
278,HR,Analyst,10,Tier 2,960412
279,Marketing,Intern,3,Tier 2,421496
280,Marketing,Director,3,Tier 2,1532425
281,Finance,Associate,4,Tier 2,692888
282,Finance,Intern,2,Tier 1,418816
283,Operations,Associate,2,Tier 1,640463
284,Support,Intern,3,Tier 3,387841
285,HR,Director,16,Tier 2,2380911
286,IT,Intern,4,Tier 2,498811
287,Sales,Lead,16,Tier 3,1650150
288,IT,Senior Dev,12,Tier 1,1663286
289,Operations,Manager,2,Tier 3,1011352
290,Marketing,Senior Dev,16,Tier 3,1574912
291,HR,Manager,19,Tier 2,2260959
292,Finance,Lead,12,Tier 2,1532698
293,Finance,Associate,18,Tier 2,1645280
294,IT,Intern,3,Tier 3,366779
295,Marketing,Manager,8,Tier 2,1512466
296,IT,Director,11,Tier 2,2020360
297,Support,Director,6,Tier 2,1745163
298,IT,Senior Dev,13,Tier 1,1746934
299,Finance,Director,19,Tier 1,2949098
300,Finance,Analyst,14,Tier 2,1232335
301,Operations,Senior Dev,4,Tier 2,950418
302,Marketing,Associate,11,Tier 1,1318576
303,Sales,Senior Dev,19,Tier 3,1721130
304,HR,Lead,3,Tier 1,1122788
305,Support,Associate,15,Tier 2,1427192
306,Marketing,Associate,6,Tier 2,824540
307,IT,Analyst,9,Tier 2,915689
308,Operations,Lead,6,Tier 3,1052925
309,IT,Senior Dev,4,Tier 3,833714
310,Support,Senior Dev,10,Tier 3,1194394
311,Finance,Manager,17,Tier 1,2407614
312,Finance,Intern,11,Tier 2,964136
313,Marketing,Manager,9,Tier 1,1787337
314,Marketing,Director,11,Tier 3,1837056
315,Sales,Associate,5,Tier 2,741542
316,Finance,Manager,13,Tier 2,1864732
317,Marketing,Manager,7,Tier 1,1659081
318,Marketing,Lead,8,Tier 2,1295569
319,Support,Manager,1,Tier 1,1187924
320,Sales,Manager,4,Tier 3,1164693
321,Marketing,Senior Dev,18,Tier 1,2098295
322,Operations,Senior Dev,15,Tier 2,1662348
323,Finance,Director,0,Tier 1,1487749
324,HR,Senior Dev,19,Tier 3,1736256
325,Operations,Associate,6,Tier 1,957080
326,Finance,Analyst,12,Tier 2,1117731
327,Sales,Associate,3,Tier 1,730909
328,Finance,Intern,18,Tier 1,1576588
329,Marketing,Manager,11,Tier 1,1958069
330,IT,Manager,6,Tier 1,1598338
331,Sales,Intern,9,Tier 3,765129
332,Sales,Intern,18,Tier 2,1406710
333,Finance,Manager,2,Tier 3,1010652
334,Marketing,Senior Dev,12,Tier 3,1311233
335,Finance,Analyst,19,Tier 1,1825771
336,Finance,Manager,7,Tier 2,1435116
337,IT,Manager,8,Tier 2,1530918
338,HR,Intern,0,Tier 1,259298
339,IT,Intern,12,Tier 1,1134683
340,IT,Lead,16,Tier 1,2068960
341,Support,Lead,0,Tier 2,777797
342,Marketing,Lead,5,Tier 1,1222105
343,Finance,Manager,11,Tier 1,1965740
344,Operations,Senior Dev,12,Tier 3,1324620
345,Finance,Director,14,Tier 3,2030559
346,HR,Manager,10,Tier 3,1481003
347,IT,Associate,4,Tier 1,795826
348,IT,Manager,18,Tier 2,2161843
349,Sales,Senior Dev,17,Tier 2,1758190
350,Finance,Senior Dev,8,Tier 3,1102528
351,Finance,Senior Dev,13,Tier 3,1402638
352,Marketing,Associate,0,Tier 1,512356
353,Marketing,Director,2,Tier 2,1441087
354,Sales,Associate,10,Tier 2,1083323
355,Marketing,Intern,9,Tier 2,794975
356,HR,Associate,15,Tier 3,1291447
357,Operations,Intern,5,Tier 1,618959
358,IT,Senior Dev,7,Tier 3,999337
359,IT,Director,3,Tier 3,1386487
360,Finance,Lead,17,Tier 1,2153307
361,HR,Director,4,Tier 1,1774835
362,Support,Lead,16,Tier 2,1834088
363,Sales,Director,0,Tier 3,1225284
364,Support,Senior Dev,19,Tier 2,1943852
365,Marketing,Intern,15,Tier 2,1197308
366,HR,Director,12,Tier 3,1924349
367,Support,Intern,2,Tier 3,342476
368,Sales,Manager,5,Tier 2,1295713
369,IT,Associate,18,Tier 1,1869407
370,IT,Director,4,Tier 2,1604990
371,IT,Associate,1,Tier 1,545009
372,HR,Lead,17,Tier 2,1918570
373,IT,Associate,12,Tier 1,1407892
374,Marketing,Senior Dev,0,Tier 1,747712
375,Support,Associate,17,Tier 3,1398415
376,IT,Analyst,14,Tier 2,1271280
377,Support,Lead,10,Tier 2,1423833
378,Support,Intern,16,Tier 3,1176540
379,HR,Intern,0,Tier 3,188017
380,Sales,Intern,8,Tier 2,758034
381,HR,Manager,0,Tier 1,1095404
382,Operations,Senior Dev,15,Tier 1,1892926
383,Finance,Senior Dev,5,Tier 1,1107763
384,HR,Manager,16,Tier 1,2327606
385,Sales,Senior Dev,4,Tier 3,848757
386,Support,Senior Dev,2,Tier 2,812612
387,Marketing,Senior Dev,4,Tier 1,1023636
388,HR,Analyst,4,Tier 1,649809
389,Finance,Manager,9,Tier 1,1823330
390,Finance,Analyst,16,Tier 2,1404212
391,Finance,Analyst,13,Tier 3,1105752
392,HR,Lead,13,Tier 2,1632816
393,Support,Lead,18,Tier 2,1981932
394,Marketing,Associate,12,Tier 3,1147091
395,Operations,Lead,0,Tier 2,777744
396,Finance,Director,7,Tier 3,1632783
397,HR,Analyst,1,Tier 1,456187
398,Sales,Analyst,7,Tier 2,820918
399,HR,Lead,1,Tier 1,963125
400,Operations,Intern,2,Tier 2,350538
401,Marketing,Associate,17,Tier 3,1427131
402,Operations,Lead,0,Tier 1,895229
403,Operations,Analyst,11,Tier 3,971348
404,HR,Senior Dev,16,Tier 1,1973871
405,Sales,Associate,14,Tier 2,1349254
406,IT,Lead,14,Tier 3,1511252
407,Support,Manager,13,Tier 3,1687441
408,IT,Associate,10,Tier 1,1273682
409,Marketing,Director,6,Tier 2,1701781
410,IT,Senior Dev,1,Tier 3,636949
411,Finance,Senior Dev,17,Tier 2,1807393
412,Support,Associate,17,Tier 1,1751941
413,IT,Analyst,14,Tier 3,1133386
414,Marketing,Senior Dev,18,Tier 2,1828209
415,HR,Lead,19,Tier 1,2298920
416,Marketing,Associate,5,Tier 3,726800
417,Marketing,Director,14,Tier 1,2574267
418,Marketing,Manager,9,Tier 3,1466882
419,Marketing,Senior Dev,16,Tier 3,1581332
420,HR,Intern,3,Tier 3,399289
421,Support,Senior Dev,16,Tier 3,1551833
422,HR,Manager,16,Tier 2,2035963
423,Support,Analyst,19,Tier 2,1590932
424,Sales,Associate,1,Tier 2,483941
425,Sales,Lead,1,Tier 1,924300
426,IT,Intern,10,Tier 2,862015
427,IT,Associate,10,Tier 2,1121058
428,Finance,Lead,14,Tier 2,1681144
429,IT,Intern,15,Tier 1,1351238
430,Sales,Manager,10,Tier 2,1631637
431,IT,Lead,15,Tier 1,1994071
432,HR,Intern,3,Tier 3,395415
433,Operations,Director,3,Tier 2,1530679
434,Finance,Intern,2,Tier 3,308271
435,Marketing,Associate,2,Tier 1,653434
436,Finance,Manager,17,Tier 1,2398732
437,Finance,Analyst,18,Tier 1,1718954
438,Sales,Senior Dev,4,Tier 1,1041969
439,Operations,Senior Dev,9,Tier 2,1260668
440,Sales,Director,5,Tier 3,1509144
441,Finance,Senior Dev,11,Tier 1,1563777
442,Support,Director,13,Tier 3,2001745
443,IT,Analyst,16,Tier 1,1571329
444,Operations,Associate,12,Tier 2,1218282
445,Finance,Senior Dev,8,Tier 1,1343321
446,Support,Analyst,14,Tier 1,1400240
447,Operations,Analyst,14,Tier 2,1279645
448,Support,Associate,10,Tier 1,1239262
449,Finance,Intern,15,Tier 2,1232796
450,HR,Lead,16,Tier 2,1825721
451,Operations,Associate,3,Tier 3,563568
452,Marketing,Director,7,Tier 1,2009178
453,IT,Lead,19,Tier 2,1994302
454,IT,Lead,13,Tier 1,1848699
455,Finance,Senior Dev,13,Tier 1,1739247
456,HR,Director,1,Tier 2,1372748
457,Sales,Associate,13,Tier 3,1165034
458,Support,Analyst,18,Tier 3,1355126
459,Marketing,Senior Dev,2,Tier 2,780030
460,Marketing,Intern,13,Tier 3,1005658
461,Finance,Associate,14,Tier 1,1521531
462,HR,Director,12,Tier 2,2134497
463,Support,Lead,5,Tier 1,1259650
464,Marketing,Director,18,Tier 3,2285854
465,Operations,Intern,4,Tier 2,464267
466,Marketing,Analyst,9,Tier 2,895062
467,HR,Associate,16,Tier 3,1359926
468,Finance,Director,11,Tier 1,2299632
469,Marketing,Director,16,Tier 1,2673596
470,Sales,Analyst,19,Tier 1,1776168
471,Finance,Intern,3,Tier 2,395561
472,Finance,Lead,2,Tier 3,806616
473,Support,Intern,12,Tier 3,948513
474,Support,Intern,14,Tier 2,1120371
475,IT,Analyst,14,Tier 1,1421069
476,Marketing,Manager,1,Tier 2,1038910
477,IT,Analyst,7,Tier 2,774199
478,IT,Associate,16,Tier 1,1693275
479,IT,Analyst,18,Tier 1,1710913
480,IT,Senior Dev,8,Tier 1,1339123
481,Marketing,Senior Dev,1,Tier 3,640167
482,HR,Director,12,Tier 3,1937045
483,Support,Lead,4,Tier 1,1173024
484,HR,Lead,0,Tier 1,895612
485,HR,Lead,5,Tier 2,1071605
486,Finance,Director,15,Tier 1,2622139
487,Operations,Lead,10,Tier 3,1322669
488,Sales,Senior Dev,8,Tier 1,1333046
489,Marketing,Lead,2,Tier 2,896818
490,Support,Associate,7,Tier 2,876324
491,IT,Associate,3,Tier 2,617111
492,IT,Analyst,5,Tier 3,626641
493,Finance,Senior Dev,19,Tier 1,2159043
494,IT,Senior Dev,10,Tier 3,1227347
495,HR,Lead,14,Tier 2,1705605
496,IT,Intern,16,Tier 2,1292685
497,Support,Lead,5,Tier 3,983234
498,Sales,Manager,1,Tier 3,930846
499,HR,Senior Dev,10,Tier 2,1303703
500,HR,Analyst,18,Tier 1,1717700
501,Marketing,Intern,11,Tier 1,1051469
502,Operations,Manager,3,Tier 2,1184386
503,IT,Analyst,19,Tier 1,1819376
504,Support,Senior Dev,19,Tier 3,1746976
505,IT,Intern,11,Tier 3,832048
506,Operations,Lead,13,Tier 3,1495375
507,HR,Manager,5,Tier 1,1471828
508,Finance,Associate,10,Tier 2,1102254
509,IT,Analyst,3,Tier 3,489756
510,Finance,Director,10,Tier 3,1817362
511,Support,Associate,0,Tier 2,468245
512,HR,Director,17,Tier 3,2249383
513,Operations,Associate,9,Tier 1,1161644
514,IT,Senior Dev,9,Tier 1,1397219
515,Operations,Director,1,Tier 3,1281212
516,Operations,Director,7,Tier 3,1624387
517,Finance,Associate,0,Tier 2,411342
518,HR,Associate,4,Tier 3,653336
519,Finance,Lead,16,Tier 3,1681976
520,IT,Manager,10,Tier 3,1497534
521,IT,Lead,5,Tier 3,996614
522,Finance,Senior Dev,2,Tier 2,790253
523,Support,Analyst,16,Tier 3,1247988
524,HR,Analyst,11,Tier 1,1212929
525,IT,Director,13,Tier 1,2446908
526,Finance,Intern,10,Tier 1,975256
527,IT,Analyst,1,Tier 1,439019
528,Finance,Senior Dev,2,Tier 1,928914
529,Marketing,Analyst,0,Tier 1,350415
530,Support,Intern,7,Tier 1,786832
531,IT,Director,4,Tier 1,1825565
532,Marketing,Manager,2,Tier 1,1266204
533,HR,Senior Dev,4,Tier 1,1039282
534,Support,Manager,13,Tier 2,1858345
535,HR,Associate,3,Tier 2,624984
536,HR,Lead,12,Tier 2,1549449
537,Sales,Associate,17,Tier 2,1575303
538,Sales,Analyst,7,Tier 1,879510
539,Finance,Associate,7,Tier 3,818173
540,Sales,Senior Dev,18,Tier 3,1657804
541,Marketing,Lead,5,Tier 3,975984
542,Finance,Director,14,Tier 2,2223184
543,IT,Associate,16,Tier 2,1500016
544,Operations,Lead,14,Tier 1,1940558
545,Operations,Intern,1,Tier 1,313381
546,Support,Manager,7,Tier 1,1646727
547,Operations,Senior Dev,18,Tier 3,1661302
548,Support,Director,18,Tier 2,2519157
549,Support,Manager,5,Tier 3,1197202
550,Operations,Director,6,Tier 3,1547586
551,Finance,Senior Dev,7,Tier 1,1276273
552,Finance,Associate,19,Tier 1,1910374
553,Marketing,Manager,14,Tier 1,2150788
554,Support,Manager,0,Tier 3,929379
555,Marketing,Analyst,6,Tier 1,795922
556,Finance,Analyst,3,Tier 3,501356
557,IT,Lead,5,Tier 3,1002184
558,HR,Associate,0,Tier 3,414028
559,Support,Director,4,Tier 1,1802154
560,Operations,Manager,0,Tier 3,908141
561,Finance,Analyst,3,Tier 2,517029
562,Marketing,Lead,1,Tier 1,952265
563,Finance,Lead,4,Tier 2,1050714
564,Marketing,Analyst,9,Tier 1,1063872
565,IT,Director,5,Tier 2,1675180
566,Marketing,Manager,14,Tier 3,1716371
567,Support,Associate,12,Tier 1,1376359
568,Marketing,Lead,19,Tier 1,2310631
569,HR,Manager,14,Tier 1,2180996
570,Operations,Director,7,Tier 1,2009382
571,IT,Director,3,Tier 3,1385659
572,Operations,Lead,12,Tier 3,1410609
573,Marketing,Lead,18,Tier 2,1967666
574,Marketing,Lead,3,Tier 2,971561
575,Finance,Director,10,Tier 3,1804884
576,Finance,Associate,19,Tier 1,1907298
577,Marketing,Manager,9,Tier 2,1597879
578,Sales,Associate,5,Tier 1,889165
579,Marketing,Director,7,Tier 1,2050318
580,Finance,Associate,14,Tier 2,1383497
581,IT,Senior Dev,13,Tier 1,1719938
582,Sales,Associate,11,Tier 1,1305457
583,Finance,Lead,12,Tier 3,1397783
584,HR,Analyst,17,Tier 2,1439368
585,Operations,Director,0,Tier 2,1346942
586,HR,Lead,7,Tier 2,1235595
587,Support,Director,10,Tier 1,2239915
588,HR,Senior Dev,11,Tier 1,1582219
589,Support,Senior Dev,15,Tier 3,1516403
590,IT,Lead,4,Tier 1,1198028
591,IT,Intern,7,Tier 3,590126
592,HR,Analyst,9,Tier 1,1047632
593,Marketing,Manager,8,Tier 2,1542261
594,Sales,Analyst,18,Tier 2,1527964
595,Operations,Manager,13,Tier 1,2114327
596,HR,Director,8,Tier 1,2073797
597,Support,Manager,10,Tier 2,1633718
598,Operations,Manager,0,Tier 3,881053
599,Marketing,Senior Dev,4,Tier 2,930244
600,HR,Senior Dev,13,Tier 1,1742523
601,Marketing,Senior Dev,0,Tier 3,604622
602,IT,Analyst,18,Tier 2,1542183
603,HR,Associate,14,Tier 3,1212708
604,Sales,Analyst,14,Tier 3,1166264
605,Marketing,Director,8,Tier 2,1875545
606,Support,Analyst,19,Tier 3,1449224
607,Sales,Associate,8,Tier 1,1110738
608,Finance,Senior Dev,19,Tier 1,2194688
609,Support,Lead,10,Tier 2,1407973
610,IT,Manager,1,Tier 2,1034070
611,Sales,Manager,17,Tier 2,2090666
612,Support,Intern,1,Tier 3,285642
613,Finance,Associate,16,Tier 2,1472783
614,IT,Director,10,Tier 1,2261914
615,Support,Director,11,Tier 2,2029490
616,IT,Senior Dev,6,Tier 1,1175299
617,IT,Manager,5,Tier 1,1489956
618,Support,Senior Dev,0,Tier 1,775472
619,Support,Associate,10,Tier 2,1074757
620,Marketing,Intern,17,Tier 1,1533356
621,IT,Director,16,Tier 3,2180118
622,Marketing,Senior Dev,16,Tier 2,1732163
623,Sales,Associate,8,Tier 2,987840
624,HR,Senior Dev,19,Tier 1,2197853
625,Marketing,Director,7,Tier 1,2050856
626,IT,Associate,6,Tier 1,929984
627,IT,Analyst,12,Tier 1,1286949
628,Operations,Intern,18,Tier 1,1594442
629,Sales,Director,18,Tier 2,2505965
630,Operations,Senior Dev,16,Tier 1,1940908
631,Operations,Intern,15,Tier 1,1373071
632,Marketing,Senior Dev,18,Tier 3,1668449
633,Marketing,Lead,0,Tier 1,883258
634,Support,Lead,14,Tier 3,1538865
635,Sales,Lead,16,Tier 1,2071737
636,Marketing,Analyst,5,Tier 1,745522
