OrderDetailID,OrderID,ProductID,Quantity,Price
OD000115,O00033,P0271,2,50483.8
OD000116,O00033,P0405,3,110104.23
OD000117,O00034,P0055,2,19695.38
OD000118,O00034,P0343,3,108763.23
OD000119,O00035,P0257,2,35772.98
OD000120,O00036,P0339,3,47198.88
OD000121,O00036,P0039,2,48625.88
OD000122,O00036,P0150,1,48970.24
OD000123,O00036,P0113,2,15376.84
OD000124,O00036,P0317,2,97456.1
OD000125,O00037,P0141,2,17607.72
OD000126,O00037,P0094,1,39141.36
OD000127,O00037,P0011,1,12639.93
OD000128,O00037,P0312,2,53932.56
OD000129,O00037,P0090,1,4541.22
OD000130,O00038,P0226,1,22025.27
OD000131,O00038,P0450,3,40029.45
OD000132,O00038,P0297,2,79609.82
OD000133,O00038,P0401,2,8418.08
OD000134,O00038,P0369,1,29719.67
OD000135,O00039,P0243,3,118588.2
OD000136,O00039,P0425,3,71313.75
OD000137,O00039,P0035,3,132971.43
OD000138,O00039,P0484,1,8571.02
OD000139,O00039,P0313,2,73815.2
OD000140,O00040,P0291,1,38797.98
OD000141,O00040,P0194,1,49657.42
OD000142,O00040,P0490,2,4434.28
OD000143,O00041,P0360,1,44753.22
OD000144,O00042,P0457,1,25557.49
OD000145,O00042,P0163,2,83464.28
OD000146,O00043,P0343,1,36254.41
OD000147,O00043,P0136,1,2991.68
OD000148,O00044,P0188,2,26281.06
OD000149,O00044,P0305,2,24769.32
OD000150,O00045,P0293,1,486.78
OD000151,O00045,P0322,1,37337.54
OD000152,O00045,P0074,2,63201.18
OD000153,O00045,P0053,2,57477.82
OD000154,O00046,P0346,3,39770.88
OD000155,O00046,P0409,1,48069.69
OD000156,O00047,P0497,1,14070.95
OD000157,O00047,P0095,2,86842.78
OD000158,O00047,P0315,3,19353.69
OD000159,O00048,P0312,2,53932.56
OD000160,O00048,P0319,2,35040.3
OD000161,O00049,P0456,2,64057.32
OD000162,O00049,P0170,1,26961.11
OD000163,O00049,P0021,2,17396.04
OD000164,O00049,P0242,3,88686.3
OD000165,O00049,P0115,2,88803.46
OD000166,O00050,P0284,1,9525.56
OD000167,O00050,P0200,1,13941.44
OD000168,O00050,P0187,3,138227.25
OD000169,O00050,P0344,1,6188.97
OD000170,O00050,P0368,2,57498.34
OD000171,O00051,P0248,3,113146.65
OD000172,O00051,P0286,3,103159.8
OD000173,O00051,P0143,1,38572.8
OD000174,O00052,P0214,3,91180.77
OD000175,O00053,P0422,2,47390.44
OD000176,O00053,P0056,1,710.67
OD000177,O00053,P0140,3,86369.13
OD000178,O00053,P0142,3,127879.56
OD000179,O00053,P0067,2,45030.94
OD000180,O00054,P0403,1,9574.21
OD000181,O00054,P0367,1,45671.59
OD000182,O00054,P0227,1,36013.96
OD000183,O00055,P0449,3,95631.57
OD000184,O00055,P0451,1,32544.56
OD000185,O00055,P0155,3,21514.71
OD000186,O00056,P0018,1,38945.67
OD000187,O00056,P0398,1,42310.86
OD000188,O00056,P0260,1,4260.68
OD000189,O00057,P0163,3,125196.42
OD000190,O00057,P0050,3,146514.54
OD000191,O00057,P0353,3,38712.48
OD000192,O00058,P0019,1,14547.49
OD000193,O00059,P0449,1,31877.19
OD000194,O00059,P0223,2,16256.24
OD000195,O00059,P0243,1,39529.4
OD000196,O00060,P0088,2,47724.7
OD000197,O00061,P0391,3,130953.0
OD000198,O00061,P0493,1,26066.08
OD000199,O00061,P0219,3,13061.79
OD000200,O00061,P0253,3,86577.21
OD000201,O00061,P0500,1,30616.24
OD000202,O00062,P0475,1,35943.68
OD000203,O00063,P0133,1,25607.5
OD000204,O00063,P0039,1,24312.94
OD000205,O00063,P0270,2,22105.8
OD000206,O00063,P0208,1,45993.95
OD000207,O00064,P0370,3,141394.38
OD000208,O00065,P0189,2,42234.28
OD000209,O00065,P0021,3,26094.06
OD000210,O00065,P0405,2,73402.82
OD000211,O00065,P0386,3,80619.09
OD000212,O00066,P0017,3,5655.0
OD000213,O00066,P0194,1,49657.42
OD000214,O00066,P0434,3,16717.71
OD000215,O00066,P0500,1,30616.24
OD000216,O00066,P0134,2,69334.56
OD000217,O00067,P0140,2,57579.42
OD000218,O00067,P0188,2,26281.06
OD000219,O00067,P0320,3,5772.72
OD000220,O00068,P0215,3,36705.96
OD000221,O00068,P0385,1,5603.28
OD000222,O00068,P0225,1,34961.77
OD000223,O00069,P0319,2,35040.3
OD000224,O00069,P0111,3,41311.53
OD000225,O00069,P0182,2,56661.3
OD000226,O00069,P0125,3,134926.98
OD000227,O00069,P0296,1,6885.75
OD000228,O00070,P0067,2,45030.94
OD000229,O00070,P0455,1,24246.4
OD000230,O00070,P0265,2,61726.32
OD000231,O00070,P0052,2,16260.74
OD000232,O00070,P0194,1,49657.42
OD000233,O00071,P0049,1,33685.14
OD000234,O00071,P0344,1,6188.97
OD000235,O00072,P0264,3,120101.01
OD000236,O00072,P0279,2,45956.62
OD000237,O00072,P0475,3,107831.04
OD000238,O00073,P0065,2,92449.4
OD000239,O00074,P0396,3,26250.33
OD000240,O00074,P0459,3,17627.94
OD000241,O00074,P0198,1,4664.49
OD000242,O00075,P0327,3,135682.62
OD000243,O00075,P0455,2,48492.8
OD000244,O00075,P0487,2,52109.94
OD000245,O00076,P0091,2,38473.08
OD000246,O00076,P0453,3,103322.88
OD000247,O00076,P0259,3,93443.4
OD000248,O00077,P0081,2,34751.26
OD000249,O00078,P0282,2,77401.48
OD000250,O00078,P0466,1,32070.74
OD000251,O00078,P0051,2,1814.34
OD000252,O00079,P0287,2,57192.92
OD000253,O00079,P0054,3,148209.21
OD000254,O00079,P0460,2,84409.9
OD000255,O00079,P0046,1,33731.27
OD000256,O00080,P0111,2,27541.02
OD000257,O00080,P0355,2,97337.12
OD000258,O00080,P0046,2,67462.54
OD000259,O00081,P0184,1,40592.32
OD000260,O00081,P0345,3,84771.36
OD000261,O00082,P0255,3,67473.18
OD000262,O00083,P0294,1,28895.66
OD000263,O00083,P0223,2,16256.24
OD000264,O00083,P0465,1,38414.53
OD000265,O00083,P0216,3,15772.17
OD000266,O00084,P0494,3,79167.45
OD000267,O00084,P0063,3,5388.06
OD000268,O00084,P0235,3,108055.71
OD000269,O00084,P0451,3,97633.68
OD000270,O00085,P0300,3,30209.37
OD000271,O00085,P0103,2,87758.38
OD000272,O00085,P0372,3,39744.84
OD000273,O00086,P0213,2,34237.56
OD000274,O00086,P0037,3,108149.19
OD000275,O00087,P0248,2,75431.1
OD000276,O00087,P0441,2,62882.12
OD000277,O00087,P0410,2,79522.66
OD000278,O00087,P0358,1,20030.96
OD000279,O00088,P0412,2,57957.92
OD000280,O00088,P0291,2,77595.96
OD000281,O00088,P0054,1,49403.07
OD000282,O00088,P0140,1,28789.71
OD000283,O00089,P0014,1,46778.4
OD000284,O00089,P0140,1,28789.71
OD000285,O00090,P0205,3,11683.8
OD000286,O00090,P0201,1,38270.76
OD000287,O00090,P0386,2,53746.06
OD000288,O00091,P0252,2,55679.46
OD000289,O00091,P0416,1,2188.07
OD000290,O00091,P0214,2,60787.18
OD000291,O00091,P0006,1,22450.55
OD000292,O00092,P0390,2,94094.3
OD000293,O00092,P0294,2,57791.32
OD000294,O00092,P0367,1,45671.59
OD000295,O00092,P0019,1,14547.49
OD000296,O00092,P0140,3,86369.13
OD000297,O00093,P0474,2,12072.54
OD000298,O00093,P0243,3,118588.2
OD000299,O00093,P0166,1,4704.45
OD000300,O00093,P0417,1,48161.82
OD000301,O00094,P0448,3,22534.23
OD000302,O00094,P0036,2,49027.96
OD000303,O00094,P0067,3,67546.41
OD000304,O00094,P0391,1,43651.0
OD000305,O00095,P0226,2,44050.54
OD000306,O00096,P0352,1,22564.59
OD000307,O00096,P0187,3,138227.25
OD000308,O00096,P0429,3,75678.51
OD000309,O00097,P0410,1,39761.33
OD000310,O00097,P0439,1,18005.17
OD000311,O00097,P0022,1,33123.51
OD000312,O00098,P0384,2,60553.36
OD000313,O00099,P0178,2,13485.0
OD000314,O00099,P0067,1,22515.47
OD000315,O00099,P0488,1,19763.51
OD000316,O00099,P0370,1,47131.46
OD000317,O00100,P0259,3,93443.4
OD000318,O00100,P0321,1,41419.14
OD000319,O00101,P0155,2,14343.14
OD000320,O00101,P0230,3,38824.17
OD000321,O00101,P0225,1,34961.77
OD000322,O00101,P0123,3,11527.41
OD000323,O00101,P0367,3,137014.77
OD000324,O00102,P0042,3,125919.15
OD000325,O00102,P0391,3,130953.0
OD000326,O00102,P0149,3,99129.78
OD000327,O00103,P0291,1,38797.98
OD000328,O00103,P0255,1,22491.06
OD000329,O00103,P0096,2,10335.48
OD000330,O00104,P0471,2,8575.6
OD000331,O00105,P0151,2,66999.72
OD000332,O00106,P0347,1,48533.81
OD000333,O00106,P0391,1,43651.0
OD000334,O00106,P0055,2,19695.38
OD000335,O00106,P0455,2,48492.8
OD000336,O00106,P0475,2,71887.36
OD000337,O00107,P0207,3,95434.8
OD000338,O00108,P0384,1,30276.68
OD000339,O00108,P0131,2,50269.88
OD000340,O00108,P0312,1,26966.28
OD000341,O00109,P0401,1,4209.04
OD000342,O00109,P0329,3,109579.05
OD000343,O00109,P0312,2,53932.56
OD000344,O00109,P0226,2,44050.54
OD000345,O00110,P0297,2,79609.82
OD000346,O00110,P0391,3,130953.0
OD000347,O00110,P0028,1,169.02
OD000348,O00111,P0347,3,145601.43
OD000349,O00111,P0307,3,83232.54
OD000350,O00111,P0167,2,19615.54
OD000351,O00111,P0360,2,89506.44
OD000352,O00111,P0070,3,46880.16
OD000353,O00112,P0277,1,47598.78
OD000354,O00112,P0324,1,19384.0
OD000355,O00112,P0323,3,141014.67
OD000356,O00112,P0006,3,67351.65
OD000357,O00112,P0107,2,70374.92
OD000358,O00113,P0288,3,63358.53
OD000359,O00113,P0039,3,72938.82
OD000360,O00113,P0027,1,26312.15
OD000361,O00114,P0302,2,35899.8
OD000362,O00114,P0470,2,13050.64
OD000363,O00114,P0076,3,101235.15
OD000364,O00114,P0089,2,95552.4
OD000365,O00115,P0405,2,73402.82
OD000366,O00115,P0324,2,38768.0
OD000367,O00115,P0325,2,16610.06
OD000368,O00116,P0156,2,74164.72
OD000369,O00116,P0152,2,48841.88
OD000370,O00116,P0479,2,41293.1
OD000371,O00116,P0239,1,1403.24
OD000372,O00117,P0471,1,4287.8
OD000373,O00117,P0314,1,23667.18
OD000374,O00117,P0430,2,86703.36
OD000375,O00117,P0426,3,99483.48
OD000376,O00117,P0278,3,60685.14
OD000377,O00118,P0049,2,67370.28
OD000378,O00119,P0372,2,26496.56
OD000379,O00119,P0282,1,38700.74
OD000380,O00119,P0117,1,1792.39
OD000381,O00119,P0025,1,32682.8
OD000382,O00119,P0247,1,41823.06
OD000383,O00120,P0002,1,29810.32
OD000384,O00120,P0258,3,146895.51
OD000385,O00120,P0242,2,59124.2
OD000386,O00120,P0053,2,57477.82
OD000387,O00121,P0252,1,27839.73
OD000388,O00121,P0109,2,58341.42
OD000389,O00122,P0100,1,7336.08
OD000390,O00122,P0044,3,89612.25
OD000391,O00122,P0156,1,37082.36
OD000392,O00122,P0163,1,41732.14
OD000393,O00123,P0453,1,34440.96
OD000394,O00123,P0419,2,63458.24
OD000395,O00123,P0350,2,69662.16
OD000396,O00123,P0413,3,35995.65
OD000397,O00124,P0011,1,12639.93
OD000398,O00124,P0457,3,76672.47
OD000399,O00125,P0266,1,24933.26
OD000400,O00126,P0386,3,80619.09
OD000401,O00126,P0041,2,13249.5
OD000402,O00126,P0148,1,29281.73
OD000403,O00126,P0375,1,11084.88
OD000404,O00126,P0325,2,16610.06
OD000405,O00127,P0376,1,42513.81
OD000406,O00127,P0470,1,6525.32
OD000407,O00128,P0364,2,56865.66
OD000408,O00128,P0058,2,39702.12
OD000409,O00128,P0108,1,30794.61
OD000410,O00128,P0159,1,16887.31
OD000411,O00129,P0168,1,16016.13
OD000412,O00129,P0424,1,13776.75
OD000413,O00129,P0236,1,7364.61
OD000414,O00129,P0065,1,46224.7
OD000415,O00129,P0298,2,20241.46
OD000416,O00130,P0139,2,76032.34
OD000417,O00130,P0385,1,5603.28
OD000418,O00130,P0131,1,25134.94
OD000419,O00130,P0453,3,103322.88
OD000420,O00131,P0090,3,13623.66
OD000421,O00131,P0316,1,10470.32
OD000422,O00132,P0080,3,66344.25
OD000423,O00132,P0424,1,13776.75
OD000424,O00132,P0040,3,83836.95
OD000425,O00132,P0065,1,46224.7
OD000426,O00132,P0421,2,75187.26
OD000427,O00133,P0266,1,24933.26
OD000428,O00133,P0227,3,108041.88
OD000429,O00133,P0235,2,72037.14
OD000430,O00133,P0051,2,1814.34
OD000431,O00133,P0121,3,68977.5
OD000432,O00134,P0284,2,19051.12
OD000433,O00134,P0108,1,30794.61
OD000434,O00134,P0088,2,47724.7
OD000435,O00134,P0407,2,30954.48
OD000436,O00135,P0054,3,148209.21
OD000437,O00135,P0320,3,5772.72
OD000438,O00135,P0330,3,83306.01
OD000439,O00135,P0138,3,6703.62
OD000440,O00135,P0356,1,1746.39
OD000441,O00136,P0112,3,21379.35
OD000442,O00137,P0489,2,60315.48
OD000443,O00137,P0211,1,42595.97
OD000444,O00137,P0313,3,110722.8
OD000445,O00137,P0477,3,122388.12
OD000446,O00137,P0338,2,76142.16
OD000447,O00138,P0137,1,22076.28
OD000448,O00139,P0128,1,14179.39
OD000449,O00140,P0330,2,55537.34
OD000450,O00140,P0281,2,87884.82
OD000451,O00140,P0133,2,51215.0
OD000452,O00141,P0381,1,20362.89
OD000453,O00141,P0434,3,16717.71
OD000454,O00141,P0019,1,14547.49
OD000455,O00142,P0156,1,37082.36
OD000456,O00142,P0215,1,12235.32
OD000457,O00142,P0316,3,31410.96
OD000458,O00142,P0484,1,8571.02
OD000459,O00142,P0363,1,26506.83
OD000460,O00143,P0309,2,9992.06
OD000461,O00143,P0125,1,44975.66
OD000462,O00143,P0115,3,133205.19
OD000463,O00144,P0171,1,7881.56
OD000464,O00144,P0312,2,53932.56
OD000465,O00144,P0153,2,94524.6
OD000466,O00145,P0478,3,135643.38
OD000467,O00145,P0225,2,69923.54
OD000468,O00145,P0470,2,13050.64
OD000469,O00145,P0240,3,37376.67
OD000470,O00145,P0059,2,10444.44
OD000471,O00146,P0220,2,31127.54
OD000472,O00146,P0021,2,17396.04
OD000473,O00146,P0289,1,4903.97
OD000474,O00146,P0117,1,1792.39
OD000475,O00146,P0037,1,36049.73
OD000476,O00147,P0459,3,17627.94
OD000477,O00147,P0272,3,143854.62
OD000478,O00148,P0173,1,36346.52
OD000479,O00148,P0003,3,144441.69
OD000480,O00149,P0018,3,116837.01
OD000481,O00150,P0034,1,23453.17
OD000482,O00150,P0122,1,25630.56
OD000483,O00150,P0351,1,16869.29
OD000484,O00150,P0083,3,102439.89
OD000485,O00150,P0019,3,43642.47
OD000486,O00151,P0467,1,6015.2
OD000487,O00151,P0489,2,60315.48
OD000488,O00151,P0282,1,38700.74
OD000489,O00152,P0051,3,2721.51
OD000490,O00153,P0448,2,15022.82
OD000491,O00153,P0402,2,10304.32
OD000492,O00154,P0256,3,114288.09
OD000493,O00155,P0230,2,25882.78
OD000494,O00156,P0434,2,11145.14
OD000495,O00156,P0466,3,96212.22
OD000496,O00156,P0300,3,30209.37
OD000497,O00157,P0398,3,126932.58
OD000498,O00158,P0438,2,51734.68
OD000499,O00158,P0086,2,90828.36
OD000500,O00158,P0020,1,28373.35
OD000501,O00159,P0428,3,108551.34
OD000502,O00159,P0188,2,26281.06
OD000503,O00159,P0099,1,5087.08
OD000504,O00159,P0104,1,25936.71
OD000505,O00160,P0185,1,15224.0
OD000506,O00161,P0407,3,46431.72
OD000507,O00162,P0455,1,24246.4
OD000508,O00162,P0067,1,22515.47
OD000509,O00163,P0413,3,35995.65
OD000510,O00163,P0027,3,78936.45
OD000511,O00163,P0021,2,17396.04
OD000512,O00163,P0341,3,95815.47
OD000513,O00164,P0039,2,48625.88
OD000514,O00164,P0483,3,25125.87
OD000515,O00165,P0328,1,7635.87
OD000516,O00166,P0355,1,48668.56
OD000517,O00166,P0168,3,48048.39
OD000518,O00167,P0326,1,18953.49
OD000519,O00167,P0269,2,69805.24
OD000520,O00167,P0194,1,49657.42
OD000521,O00167,P0464,3,118725.51
OD000522,O00168,P0202,3,92446.68
OD000523,O00168,P0023,2,86751.02
OD000524,O00168,P0180,2,30358.6
OD000525,O00168,P0035,3,132971.43
OD000526,O00168,P0136,3,8975.04
OD000527,O00169,P0241,3,126024.42
OD000528,O00169,P0364,3,85298.49
OD000529,O00169,P0115,2,88803.46
OD000530,O00169,P0275,2,80521.88
OD000531,O00169,P0102,1,41702.42
OD000532,O00170,P0035,3,132971.43
OD000533,O00170,P0251,1,13197.73
OD000534,O00170,P0098,1,30136.38
OD000535,O00170,P0185,3,45672.0
OD000536,O00171,P0032,1,22132.39
OD000537,O00172,P0218,1,25984.1
OD000538,O00172,P0216,1,5257.39
OD000539,O00172,P0073,1,29600.94
OD000540,O00173,P0346,1,13256.96
OD000541,O00173,P0038,3,39468.03
OD000542,O00173,P0179,2,31797.26
OD000543,O00173,P0439,1,18005.17
OD000544,O00173,P0436,2,35814.42
OD000545,O00174,P0082,2,53786.64
OD000546,O00174,P0118,3,107988.48
OD000547,O00174,P0475,1,35943.68
OD000548,O00175,P0208,2,91987.9
OD000549,O00175,P0054,2,98806.14
OD000550,O00175,P0200,3,41824.32
OD000551,O00175,P0326,3,56860.47
OD000552,O00175,P0158,3,2242.68
OD000553,O00176,P0319,1,17520.15
OD000554,O00176,P0255,1,22491.06
OD000555,O00176,P0155,1,7171.57
OD000556,O00177,P0111,3,41311.53
OD000557,O00177,P0499,2,44758.16
OD000558,O00178,P0199,3,63996.0
OD000559,O00178,P0315,3,19353.69
OD000560,O00178,P0270,3,33158.7
OD000561,O00178,P0423,1,36902.07
OD000562,O00178,P0429,1,25226.17
OD000563,O00179,P0072,2,61172.18
OD000564,O00179,P0149,1,33043.26
OD000565,O00179,P0056,3,2132.01
OD000566,O00179,P0192,3,98643.27
OD000567,O00180,P0216,1,5257.39
OD000568,O00180,P0041,2,13249.5
OD000569,O00181,P0150,3,146910.72
OD000570,O00181,P0255,2,44982.12
OD000571,O00181,P0426,2,66322.32
OD000572,O00181,P0322,1,37337.54
OD000573,O00181,P0233,2,11070.52
OD000574,O00182,P0418,1,11635.18
OD000575,O00182,P0142,2,85253.04
OD000576,O00182,P0216,3,15772.17
OD000577,O00182,P0130,2,54957.94
OD000578,O00183,P0102,3,125107.26
OD000579,O00183,P0130,2,54957.94
OD000580,O00183,P0020,1,28373.35
OD000581,O00184,P0204,3,110560.2
OD000582,O00184,P0481,3,57196.89
OD000583,O00184,P0166,3,14113.35
OD000584,O00185,P0321,2,82838.28
OD000585,O00185,P0112,2,14252.9
OD000586,O00186,P0256,1,38096.03
OD000587,O00186,P0226,1,22025.27
OD000588,O00187,P0133,3,76822.5
OD000589,O00188,P0225,3,104885.31
OD000590,O00188,P0069,3,131616.3
OD000591,O00189,P0419,3,95187.36
OD000592,O00190,P0426,2,66322.32
OD000593,O00190,P0125,1,44975.66
OD000594,O00190,P0396,2,17500.22
OD000595,O00191,P0348,2,38874.06
OD000596,O00191,P0304,2,8945.54
OD000597,O00191,P0470,2,13050.64
OD000598,O00191,P0284,3,28576.68
OD000599,O00192,P0073,2,59201.88
OD000600,O00192,P0047,1,18552.11
OD000601,O00193,P0359,2,34592.42
OD000602,O00193,P0224,1,595.03
OD000603,O00193,P0168,3,48048.39
OD000604,O00194,P0349,2,26848.34
OD000605,O00194,P0426,2,66322.32
OD000606,O00194,P0091,2,38473.08
OD000607,O00194,P0238,1,6342.47
OD000608,O00194,P0206,2,32835.72
OD000609,O00195,P0118,2,71992.32
OD000610,O00195,P0434,2,11145.14
OD000611,O00195,P0307,3,83232.54
OD000612,O00195,P0207,3,95434.8
OD000613,O00195,P0310,3,97665.48
OD000614,O00196,P0296,3,20657.25
OD000615,O00196,P0476,1,635.14
OD000616,O00196,P0081,3,52126.89
OD000617,O00196,P0244,2,89479.28
OD000618,O00197,P0114,2,23796.3
OD000619,O00197,P0438,2,51734.68
OD000620,O00197,P0041,2,13249.5
OD000621,O00197,P0440,3,82513.62
OD000622,O00197,P0354,2,84309.28
OD000623,O00198,P0289,2,9807.94
OD000624,O00198,P0319,1,17520.15
OD000625,O00199,P0037,2,72099.46
OD000626,O00199,P0006,3,67351.65
OD000627,O00199,P0029,2,3493.64
OD000628,O00199,P0454,3,118151.85
OD000629,O00199,P0019,1,14547.49
OD000630,O00200,P0390,3,141141.45
OD000631,O00200,P0362,3,54611.58
OD000632,O00200,P0406,3,106994.07
OD000633,O00201,P0429,2,50452.34
OD000634,O00201,P0222,1,16593.23
OD000635,O00202,P0418,1,11635.18
OD000636,O00202,P0095,3,130264.17
OD000637,O00202,P0293,1,486.78
OD000638,O00202,P0053,2,57477.82
OD000639,O00202,P0203,1,11474.77
OD000640,O00203,P0276,2,34132.26
OD000641,O00203,P0457,2,51114.98
OD000642,O00203,P0356,2,3492.78
OD000643,O00203,P0394,3,72722.01
OD000644,O00203,P0442,3,144149.19
OD000645,O00204,P0491,1,14220.38
OD000646,O00204,P0242,3,88686.3
OD000647,O00204,P0363,3,79520.49
OD000648,O00204,P0391,3,130953.0
OD000649,O00205,P0295,1,197.81
OD000650,O00206,P0054,1,49403.07
OD000651,O00206,P0208,2,91987.9
OD000652,O00206,P0293,3,1460.34
OD000653,O00206,P0422,2,47390.44
OD000654,O00207,P0475,3,107831.04
OD000655,O00207,P0200,3,41824.32
OD000656,O00208,P0138,3,6703.62
OD000657,O00208,P0381,3,61088.67
OD000658,O00208,P0373,3,19385.79
OD000659,O00209,P0358,1,20030.96
OD000660,O00209,P0498,1,23027.23
OD000661,O00209,P0421,3,112780.89
OD000662,O00209,P0019,3,43642.47
OD000663,O00209,P0193,2,4759.68
OD000664,O00210,P0455,1,24246.4
OD000665,O00210,P0095,1,43421.39
OD000666,O00211,P0051,1,907.17
OD000667,O00211,P0321,3,124257.42
OD000668,O00212,P0473,3,20225.46
OD000669,O00212,P0148,3,87845.19
OD000670,O00213,P0455,3,72739.2
OD000671,O00213,P0244,3,134218.92
OD000672,O00213,P0274,1,36502.79
OD000673,O00213,P0261,2,69295.22
OD000674,O00213,P0136,2,5983.36
OD000675,O00214,P0379,1,13525.07
OD000676,O00214,P0182,3,84991.95
OD000677,O00214,P0148,1,29281.73
OD000678,O00214,P0227,2,72027.92
OD000679,O00214,P0046,3,101193.81
OD000680,O00215,P0249,2,33810.7
OD000681,O00216,P0477,2,81592.08
OD000682,O00216,P0269,3,104707.86
OD000683,O00217,P0061,3,128530.74
OD000684,O00217,P0248,1,37715.55
OD000685,O00217,P0087,3,7825.47
OD000686,O00217,P0095,3,130264.17
OD000687,O00217,P0400,2,48102.82
OD000688,O00218,P0274,3,109508.37
OD000689,O00218,P0416,3,6564.21
OD000690,O00219,P0052,2,16260.74
OD000691,O00219,P0347,3,145601.43
OD000692,O00219,P0496,1,6446.33
OD000693,O00219,P0040,3,83836.95
OD000694,O00219,P0382,2,20594.3
OD000695,O00220,P0180,3,45537.9
OD000696,O00220,P0446,1,42866.03
OD000697,O00220,P0224,3,1785.09
